title,overall_rating,genres,language,seasons,episodes
Over the Garden Wall,8.7,"Dark Fantasy, Folk Horror, Supernatural Fantasy, Supernatural Horror, Adventure, Animation, Comedy, Drama, Family, Fantasy",English,1,10
Black Mirror,8.7,"Cyber Thriller, Dystopian Sci-Fi, Psychological Drama, Psychological Thriller, Suspense Mystery, Tragedy, Crime, Drama, Mystery, Sci-Fi",English,7,33
South Park,8.7,"Adult Animation, Dark Comedy, Farce, Parody, Raunchy Comedy, Satire, Sitcom, Animation, Comedy",English,26,327
Kota Factory,9,"Comedy, Drama",Hindi,3,15
"I, Claudius",8.8,"Epic, Period Drama, Political Drama, Sword & Sandal, Biography, Drama, History",English,1,13
Gullak,9.1,"Comedy, Drama, Family",Hindi,4,20
Vinland Saga,8.8,"Adult Animation, Anime, Historical Epic, One-Person Army Action, Period Drama, Seinen, Tragedy, Action, Adventure, Animation",Japanese,1,48
Bleach: Thousand-Year Blood War,9,"Anime, Shōnen, Supernatural Fantasy, Urban Adventure, Action, Adventure, Animation, Fantasy",Japanese,3,41
Narcos,8.7,"Docudrama, Drug Crime, Epic, Police Procedural, True Crime, Biography, Crime, Drama, Thriller",English,3,30
Chappelle's Show,8.8,"Satire, Sketch Comedy, Comedy, Music",English,3,33
Freaks and Geeks,8.8,"Coming-of-Age, Teen Comedy, Teen Drama, Comedy, Drama",English,1,18
Pride and Prejudice,8.8,"Costume Drama, Period Drama, Romantic Epic, Drama, Romance",English,1,6
Blackadder Goes Forth,8.8,"Satire, Sitcom, Comedy, War",English,1,6
Panchayat,9,"Comedy, Drama",Hindi,4,32
Leyla ile Mecnun,9.1,"Romantic Epic, Adventure, Comedy, Drama, Fantasy, Mystery, Romance",Turkish,7,144
Fawlty Towers,8.8,"Farce, Sitcom, Slapstick, Comedy",English,2,12
The Chosen,9.1,"Historical Epic, Drama, History",English,5,42
BoJack Horseman,8.8,"Adult Animation, Dark Comedy, Psychological Drama, Satire, Showbiz Drama, Sitcom, Animation, Comedy, Drama",English,6,77
Das Boot,8.8,"War Epic, Drama, War",German,1,3
Curb Your Enthusiasm,8.8,"Dark Comedy, Sitcom, Comedy",English,12,120
Monty Python's Flying Circus,8.8,"Farce, Satire, Sketch Comedy, Slapstick, Comedy",English,4,45
One Piece,9,"Action Epic, Adult Animation, Adventure Epic, Anime, Fantasy Epic, Globetrotting Adventure, Martial Arts, Quest, Sea Adventure, Shōnen",Japanese,1,66
The West Wing,8.9,"Political Drama, Drama",English,7,155
TVF Pitchers,9.1,"Comedy, Drama",Hindi,2,10
Succession,8.8,"Dark Comedy, Epic, Satire, Tragedy, Workplace Drama, Comedy, Drama, Financial Drama",English,4,39
It's Always Sunny in Philadelphia,8.8,"Dark Comedy, Satire, Sitcom, Comedy",English,17,179
Last Week Tonight with John Oliver,8.8,"News, Satire, Comedy, Talk Show",English,12,37
Friends,8.9,"Feel-Good Romance, Parody, Romantic Comedy, Sitcom, Comedy, Romance",English,10,235
When They See Us,8.8,"Docudrama, Legal Drama, Teen Drama, True Crime, Biography, Crime, Drama, History",English,1,4
Africa,8.9,"Nature Documentary, Documentary",English,1,7
Frieren: Beyond Journey's End,8.9,"Anime, Fantasy Epic, Iyashikei, Shōnen, Sword & Sorcery, Adventure, Animation, Comedy, Drama, Fantasy",Japanese,1,29
Taskmaster,9,"Comedy, Game Show",English,19,182
Apocalypse: The Second World War,9,"History Documentary, Military Documentary, Documentary, History, War",French,1,6
Sahsiyet,9,"Psychological Thriller, Crime, Drama, Mystery, Thriller",Turkish,2,22
Nathan for You,8.9,"Docuseries, Quirky Comedy, Comedy, Documentary",English,4,32
Fargo,8.8,"Dark Comedy, Crime, Drama, Thriller",English,5,51
True Detective,8.9,"Cop Drama, Epic, Hard-boiled Detective, Police Procedural, Psychological Drama, Psychological Thriller, Serial Killer, Suspense Mystery, Whodunnit, Crime",English,4,31
